Date,Open,High,Low,Close,Volume
01/03/2023,"148.00","149.50","147.00","149.00","12,843,550"
12/30/2022,"147.50","148.50","147.00","147.50","12,185,890"
12/29/2022,"146.00","147.00","145.00","147.00","7,433,336"
12/28/2022,"145.50","146.50","145.00","146.00","8,267,275"
12/27/2022,"144.50","146.00","144.00","145.50","10,672,360"
12/26/2022,"143.50","144.50","143.50","144.50","1,968,677"
12/23/2022,"144.00","144.50","143.00","144.00","7,344,337"
12/22/2022,"145.00","145.50","144.00","145.00","7,345,463"
12/21/2022,"143.50","144.50","143.00","144.50","5,684,182"
12/20/2022,"144.00","144.00","143.00","143.00","6,399,525"
12/19/2022,"144.00","144.00","143.50","144.00","3,687,997"
12/16/2022,"143.00","143.50","142.50","143.50","6,835,739"
12/15/2022,"142.50","143.50","142.00","143.00","7,718,566"
12/14/2022,"144.00","144.00","142.00","142.00","7,065,197"
12/13/2022,"144.00","144.00","143.00","143.50","5,315,357"
12/09/2022,"143.00","143.00","142.00","143.00","3,570,475"
12/08/2022,"142.50","143.00","142.00","142.00","3,487,140"
12/07/2022,"142.00","144.00","142.00","142.50","10,376,200"
12/06/2022,"141.50","142.00","141.00","142.00","18,579,490"
12/02/2022,"143.50","144.00","142.50","142.50","9,264,868"
12/01/2022,"144.50","145.00","144.00","144.00","10,185,300"
11/30/2022,"145.00","145.00","144.00","144.50","15,468,780"
11/29/2022,"143.50","146.00","143.00","145.50","11,824,590"
11/28/2022,"142.50","143.50","141.50","143.50","7,094,834"
11/25/2022,"144.00","144.50","143.00","143.50","5,737,849"
11/24/2022,"143.50","144.00","143.00","143.50","2,776,530"
11/23/2022,"143.50","143.50","142.50","143.00","6,280,276"
11/22/2022,"142.50","144.00","142.50","143.50","5,288,797"
11/21/2022,"143.00","143.50","142.00","142.50","10,027,840"
11/18/2022,"143.50","143.50","142.00","143.00","9,260,498"
11/17/2022,"145.00","145.00","143.00","143.50","10,905,320"
11/16/2022,"144.50","145.00","144.00","145.00","9,845,984"
11/15/2022,"144.50","146.00","144.50","144.50","13,433,080"
11/14/2022,"146.00","147.00","144.00","144.50","17,635,320"
11/11/2022,"149.00","149.50","147.50","148.00","12,983,090"
11/10/2022,"146.50","149.00","146.00","148.00","10,454,270"
11/09/2022,"149.50","150.00","147.50","147.50","9,643,426"
11/08/2022,"149.00","149.50","148.00","148.50","5,573,021"
11/07/2022,"149.00","149.50","148.00","148.00","5,120,690"
11/04/2022,"149.00","149.50","148.00","148.50","12,166,200"
11/03/2022,"147.00","149.50","146.50","149.50","14,715,960"
